0.250000,0.250000,0.250000,0.250000
0.356250,0.320833,0.214583,0.108333
0.401406,0.275677,0.184479,0.138437
0.350229,0.288471,0.210068,0.151232
0.371979,0.290284,0.201005,0.136732
0.369668,0.286432,0.201005,0.142894
0.366395,0.288397,0.202969,0.142239
0.368899,0.288026,0.201764,0.141312
0.368071,0.287828,0.202079,0.142021
0.368038,0.288029,0.202146,0.141787
0.368237,0.287949,0.202037,0.141777
0.368122,0.287955,0.202089,0.141834
0.368150,0.287969,0.202081,0.141801
0.368158,0.287959,0.202075,0.141809
0.368147,0.287962,0.202080,0.141811
0.368152,0.287962,0.202078,0.141808
0.368151,0.287961,0.202078,0.141810
0.368150,0.287962,0.202079,0.141809
0.368151,0.287962,0.202078,0.141809
