0.250000,0.250000,0.250000,0.250000
0.375000,0.333333,0.208333,0.083333
0.437500,0.270833,0.166667,0.125000
0.354167,0.291667,0.208333,0.145833
0.395833,0.295139,0.190972,0.118056
0.390625,0.286458,0.190972,0.131944
0.381944,0.291667,0.196181,0.130208
0.389757,0.290509,0.192419,0.127315
0.386719,0.289786,0.193576,0.129919
0.386574,0.290654,0.193866,0.128906
0.387587,0.290244,0.193311,0.128858
0.386900,0.290280,0.193625,0.129196
0.387092,0.290377,0.193564,0.128967
0.387159,0.290296,0.193514,0.129031
0.387053,0.290325,0.193568,0.129053
0.387110,0.290328,0.193544,0.129018
0.387101,0.290318,0.193545,0.129037
0.387090,0.290324,0.193552,0.129034
0.387100,0.290323,0.193547,0.129030
0.387096,0.290322,0.193548,0.129033
0.387096,0.290323,0.193549,0.129032
0.387097,0.290322,0.193548,0.129032
0.387097,0.290323,0.193548,0.129032
